district_lgd,district_name,state_lgd
603,Nicobars,35
632,North And Middle Andaman,35
602,South Andamans,35
745,Alluri Sitharama Raju,28
744,Anakapalli,28
502,Ananthapuramu,28
753,Annamayya,28
750,Bapatla,28
503,Chittoor,28
747,Dr. B.R. Ambedkar Konaseema,28
505,East Godavari,28
748,Eluru,28
506,Guntur,28
746,Kakinada,28
510,Krishna,28
511,Kurnool,28
790,Markapuram,28
755,Nandyal,28
749,Ntr,28
751,Palnadu,28
743,Parvathipuram Manyam,28
791,Polavaram,28
517,Prakasam,28
519,Srikakulam,28
515,Sri Potti Sriramulu Nellore,28
754,Sri Sathya Sai,28
752,Tirupati,28
520,Visakhapatnam,28
521,Vizianagaram,28
523,West Godavari,28
504,Y.S.R. Kadapa,28
628,Anjaw,12
787,Bichom,12
229,Changlang,12
230,Dibang Valley,12
231,East Kameng,12
232,East Siang,12
718,Kamle,12
786,Keyi Panyor,12
677,Kra Daadi,12
233,Kurung Kumey,12
724,Leparada,12
234,Lohit,12
666,Longding,12
235,Lower Dibang Valley,12
719,Lower Siang,12
236,Lower Subansiri,12
678,Namsai,12
723,Pakke Kessang,12
237,Papum Pare,12
725,Shi Yomi,12
679,Siang,12
238,Tawang,12
239,Tirap,12
240,Upper Siang,12
241,Upper Subansiri,12
242,West Kameng,12
243,West Siang,12
739,Bajali,18
616,Baksa,18
280,Barpeta,18
705,Biswanath,18
281,Bongaigaon,18
282,Cachar,18
708,Charaideo,18
612,Chirang,18
283,Darrang,18
284,Dhemaji,18
285,Dhubri,18
286,Dibrugarh,18
299,Dima Hasao,18
287,Goalpara,18
288,Golaghat,18
289,Hailakandi,18
709,Hojai,18
290,Jorhat,18
291,Kamrup,18
618,Kamrup Metro,18
292,Karbi Anglong,18
294,Kokrajhar,18
295,Lakhimpur,18
706,Majuli,18
296,Marigaon,18
297,Nagaon,18
298,Nalbari,18
300,Sivasagar,18
301,Sonitpur,18
707,South Salmara Mancachar,18
293,Sribhumi,18
756,Tamulpur,18
302,Tinsukia,18
617,Udalguri,18
710,West Karbi Anglong,18
188,Araria,10
611,Arwal,10
189,Aurangabad,10
190,Banka,10
191,Begusarai,10
192,Bhagalpur,10
193,Bhojpur,10
194,Buxar,10
195,Darbhanga,10
196,Gaya,10
197,Gopalganj,10
198,Jamui,10
199,Jehanabad,10
200,Kaimur (Bhabua),10
201,Katihar,10
202,Khagaria,10
203,Kishanganj,10
204,Lakhisarai,10
205,Madhepura,10
206,Madhubani,10
207,Munger,10
208,Muzaffarpur,10
209,Nalanda,10
210,Nawada,10
211,Pashchim Champaran,10
212,Patna,10
213,Purbi Champaran,10
214,Purnia,10
215,Rohtas,10
216,Saharsa,10
217,Samastipur,10
218,Saran,10
219,Sheikhpura,10
220,Sheohar,10
221,Sitamarhi,10
222,Siwan,10
223,Supaul,10
224,Vaishali,10
44,Chandigarh,4
646,Balod,22
644,Balodabazar-Bhatapara,22
649,Balrampur-Ramanujganj,22
374,Bastar,22
650,Bemetara,22
636,Bijapur,22
375,Bilaspur,22
376,Dakshin Bastar Dantewada,22
377,Dhamtari,22
378,Durg,22
645,Gariyaband,22
734,Gaurela-Pendra-Marwahi,22
379,Janjgir-Champa,22
380,Jashpur,22
382,Kabeerdham,22
759,Khairagarh-Chhuikhadan-Gandai,22
643,Kondagaon,22
383,Korba,22
384,Korea,22
385,Mahasamund,22
760,Manendragarh-Chirmiri-Bharatpur(M C B),22
761,Mohla-Manpur-Ambagarh Chouki,22
647,Mungeli,22
637,Narayanpur,22
386,Raigarh,22
387,Raipur,22
388,Rajnandgaon,22
762,Sakti,22
763,Sarangarh-Bilaigarh,22
642,Sukma,22
648,Surajpur,22
389,Surguja,22
381,Uttar Bastar Kanker,22
77,Central,7
796,Central North,7
78,East,7
79,New Delhi,7
80,North,7
81,North East,7
82,North West,7
795,Old Delhi,7
794,Outer North,7
83,South,7
670,South East,7
84,South West,7
85,West,7
793,Kushavati,30
551,North Goa,30
552,South Goa,30
438,Ahmedabad,24
439,Amreli,24
440,Anand,24
672,Arvalli,24
441,Banas Kantha,24
442,Bharuch,24
443,Bhavnagar,24
676,Botad,24
668,Chhotaudepur,24
445,Dahod,24
444,Dangs,24
674,Devbhumi Dwarka,24
446,Gandhinagar,24
675,Gir Somnath,24
447,Jamnagar,24
448,Junagadh,24
449,Kachchh,24
450,Kheda,24
451,Mahesana,24
669,Mahisagar,24
673,Morbi,24
452,Narmada,24
453,Navsari,24
